domain,skill,difficulty,content,option_a,option_b,option_c,option_d,correct_answer
Math,Algebra,Easy,"If 3x + 7 = 22, what is the value of x?",3,5,7,9,B
Math,Algebra,Easy,"Which of the following is equivalent to 2(x + 3) − 4?","2x + 2","2x − 2","2x + 10","2x + 6",A
Math,Algebra,Easy,"If y = 2x − 1 and y = 7, what is x?",2,3,4,5,C
Math,Algebra,Medium,"A store sells apples for $1.20 each and oranges for $0.80 each. A customer buys 10 fruits and spends exactly $10.00. How many apples did the customer buy?",3,4,5,6,C
Math,Algebra,Medium,"If f(x) = 3x − 5, what value of x makes f(x) = 10?",3,4,5,6,C
Math,Algebra,Medium,"Which of the following (x, y) is a solution to the system: 2x + 3y = 12 and x − y = 1?","(3, 2)","(5, 0)","(4, 4)","(1, 3)",A
Math,Algebra,Hard,"The system 3x + 2y = k and 6x + 4y = 20 has infinitely many solutions. What is the value of k?",5,10,15,20,B
Math,Algebra,Hard,"If |2x − 3| = 7, which of the following gives all values of x?","x = 5 only","x = −2 only","x = 5 or x = −2","x = 5 or x = 2",C
Math,Advanced Math,Easy,"What are the solutions to x² − 5x + 6 = 0?","x = 1 and x = 6","x = 2 and x = 3","x = −2 and x = −3","x = −1 and x = 6",B
Math,Advanced Math,Easy,"Which expression is equivalent to (x + 3)²?","x² + 6","x² + 9","x² + 6x + 9","x² + 3x + 9",C
Math,Advanced Math,Medium,"If f(x) = x² − 4x + 3, what is the minimum value of f(x)?",−1,−2,3,1,A
Math,Advanced Math,Medium,"The function g(x) = 2^x passes through the point (3, k). What is k?",6,8,9,12,B
Math,Advanced Math,Medium,"Which of the following is a factor of x² − 9?","(x − 3)²","(x + 3)²","(x − 3)(x + 3)","(x + 9)(x − 1)",C
Math,Advanced Math,Hard,"If p(x) = x³ − 2x² − x + 2, which of the following is NOT a root of p(x)?","−1",1,2,3,D
Math,Advanced Math,Hard,"The equation x² + bx + 9 = 0 has exactly one real solution. What is a possible value of b?",3,6,9,12,B
Math,Problem-Solving and Data Analysis,Easy,"A recipe calls for 2 cups of flour for every 3 cups of milk. If a chef uses 8 cups of flour, how many cups of milk are needed?",10,12,14,16,B
Math,Problem-Solving and Data Analysis,Easy,"In a class of 30 students, 60% passed a test. How many students passed?",15,16,18,20,C
Math,Problem-Solving and Data Analysis,Medium,"The average (mean) of 5 numbers is 12. Four of the numbers are 8, 10, 14, and 16. What is the fifth number?",10,12,14,16,B
Math,Problem-Solving and Data Analysis,Medium,"A car travels 150 miles in 3 hours. At the same rate, how many miles will it travel in 5 hours?",200,225,250,275,C
Math,Problem-Solving and Data Analysis,Hard,"In a survey, 45% of respondents preferred Brand A and 35% preferred Brand B; the rest preferred neither. If 180 people preferred Brand A, how many people were surveyed in total?",350,380,400,420,C
Math,Geometry and Trigonometry,Easy,"The area of a rectangle is 48 square feet. If the length is 8 feet, what is the width?",4,5,6,7,C
Math,Geometry and Trigonometry,Easy,"What is the perimeter of an equilateral triangle with a side length of 7 cm?",14 cm,21 cm,28 cm,35 cm,B
Math,Geometry and Trigonometry,Medium,"A circle has a radius of 5 cm. What is its area? (Use π ≈ 3.14)","31.4 cm²","62.8 cm²","78.5 cm²","157 cm²",C
Math,Geometry and Trigonometry,Medium,"In a right triangle, the two legs have lengths 6 and 8. What is the length of the hypotenuse?",7,10,12,14,B
Math,Geometry and Trigonometry,Hard,"A cylinder has a radius of 3 cm and a height of 10 cm. What is its volume? (Use π ≈ 3.14)","94.2 cm³","188.4 cm³","282.6 cm³","314 cm³",C
Reading & Writing,Standard English Conventions,Easy,"The team of engineers _____ working on the project for six months.","has been","have been","was been","were been",A
Reading & Writing,Standard English Conventions,Easy,"Which sentence uses the apostrophe correctly?","The dog wagged it's tail.","Its going to rain tomorrow.","The childrens' toys were scattered.","The children's toys were scattered.",D
Reading & Writing,Standard English Conventions,Easy,"Which of the following is a complete sentence?","Running through the park on a sunny afternoon.","Because the storm was approaching rapidly.","The scientist discovered a new element.","Although the results were promising.",C
Reading & Writing,Standard English Conventions,Medium,"Choose the correctly punctuated sentence.","The experiment was a success, however the results were unexpected.","The experiment was a success; however, the results were unexpected.","The experiment was a success however, the results were unexpected.","The experiment was a success; however the results were unexpected.",B
Reading & Writing,Standard English Conventions,Medium,"Choose the version that maintains consistent verb tense throughout.","She walked into the room, looked around, and sits down.","She walks into the room, looked around, and sat down.","She walked into the room, looked around, and sat down.","She walk into the room, looks around, and sits down.",C
Reading & Writing,Standard English Conventions,Medium,"Select the sentence with correct subject-verb agreement: 'Neither the teachers nor the principal _____ present.'","were","was","are","have been",B
Reading & Writing,Standard English Conventions,Hard,"Which sentence contains a misplaced modifier?","Running quickly, the athlete won the race.","The chef prepared a meal that everyone enjoyed.","Barking loudly, the dog scared the visitors.","Having studied all night, the exam seemed easy to the student.",D
Reading & Writing,Craft and Structure,Easy,"In the sentence 'The professor's argument was so tenuous that few students found it convincing,' the word 'tenuous' most nearly means:",detailed,forceful,flimsy,lengthy,C
Reading & Writing,Craft and Structure,Easy,"The word 'proliferate' most nearly means:","to decline gradually","to grow or multiply rapidly","to remain unchanged","to become more complex",B
Reading & Writing,Craft and Structure,Easy,"As used in the sentence 'The new policy will supersede all previous regulations,' the word 'supersede' most nearly means:",support,replace,analyze,challenge,B
Reading & Writing,Craft and Structure,Medium,"The word 'ambivalent' most nearly means:","clearly decisive","strongly opposed","having mixed feelings","completely indifferent",C
Reading & Writing,Craft and Structure,Medium,"The word 'pragmatic' most nearly means:",idealistic,theoretical,"practical and realistic","overly cautious",C
Reading & Writing,Craft and Structure,Hard,"As used in the sentence 'The critic offered an incisive analysis of the novel,' the word 'incisive' most nearly means:",incomplete,vague,"clear and sharp",lengthy,C
Reading & Writing,Information and Ideas,Easy,"Coral reefs support approximately 25% of all marine species despite covering less than 1% of the ocean floor. Based on this statement, which best describes coral reefs?","They cover most of the ocean floor.","They are disproportionately important to marine biodiversity relative to their size.","Rising temperatures have eliminated most coral reefs.","Marine species can only survive in coral reefs.",B
Reading & Writing,Information and Ideas,Easy,"The Renaissance, beginning in 14th-century Italy, emphasized humanism — the belief that humans were the center of history. The primary purpose of this passage is to:","argue the Renaissance was the most important historical period","provide a brief overview of the Renaissance and its core philosophy","describe specific artworks created during the Renaissance","explain why Italy became the birthplace of modern civilization",B
Reading & Writing,Information and Ideas,Medium,"Sleep plays a critical role in memory consolidation — the process by which the brain converts short-term memories into long-term ones. Studies show people who sleep right after learning retain information significantly better. According to the passage, what happens during sleep that benefits learning?","The brain creates entirely new memories.","Short-term memories are converted into long-term memories.","The brain eliminates unnecessary information.","Memory retention decreases over time.",B
